PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43101,15/12/2016,55,72000,0,0,0,82748.44,0,N
8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43101,42897,25,152800,0,0,0,217699.87,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43101,42897,25,246000,0,0,0,394258.08,0,N
8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43101,42897,25,246000,0,0,0,394258.08,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43101,42897,25,592000,0,0,0,951052.08,0,N
8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43101,42897,25,592000,0,0,0,951052.08,0,N
8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,93272.35,0,N
8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43101,42897,19,98400,0,0,0,109632.83,0,N
8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,13/12/2016,65,12000,0,0,0,15641.11,0,N
8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,9000,Annual,43112,42716,64,9000,0,0,0,10339.19,0,N
8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43101,42897,64,605340,0,0,0,957878.96,0,N
8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43101,42897,65,160000,0,0,0,203250.28,0,N
8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43101,42897,55,456000,0,0,0,713253.76,0,N
8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,19942.14,0,N
8110328,Vista,In force,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43101,41770,25,287400,0,0,0,390367.55,0,N
8113758,Pacific,In force,42736,18/12/2016,SL,USD,90,42625,18/12/2016,0,12000,Annual,43101,16/12/2016,57,12000,0,0,0,15988.68,0,N
8115058,Pacific,In force,42374,24/04/2016,SL,HKD,720,16/04/2016,24/04/2016,0,4000,Monthly,43101,42897,72,76000,0,0,0,78889.21,0,N
8115067,Pacific,In force,42374,30/04/2016,SL,HKD,720,17/04/2016,30/04/2016,0,8000,Monthly,43101,42897,66,152000,0,0,0,188024.27,0,N
8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43101,42897,25,80000,0,0,0,108689.44,0,N
8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43101,42897,25,80000,0,0,0,108689.44,0,N
